Date,Price,Open,High,Low,Vol.,Change %
23-09-2018,84.158,84.882,85.902,83.869,,-0.83%
16-09-2018,84.863,83.561,85.573,83.5135,,1.55%
09-09-2018,83.57,82.9785,84.497,82.885,,0.79%
02-09-2018,82.913,82.3375,83.873,82.04,,0.66%
26-08-2018,82.367,81.3785,82.939,81.053,,1.32%
19-08-2018,81.294,80.2085,81.4485,79.414,,1.42%
12-08-2018,80.155,78.4555,80.24,78.3005,,1.98%
05-08-2018,78.598,79.3275,79.8225,78.435,,-0.86%
29-07-2018,79.28,79.9865,80.536,79.2515,,-0.86%
22-07-2018,79.967,80.6115,80.7925,79.777,,-0.71%
15-07-2018,80.538,79.9875,80.709,79.598,,0.63%
08-07-2018,80.031,80.8215,81.009,79.5475,,-0.96%
01-07-2018,80.806,79.759,81.05,79.629,,1.05%
24-06-2018,79.97,79.113,80.2055,79.0345,,1.11%
17-06-2018,79.091,79.0105,79.2435,78.367,,0.13%
10-06-2018,78.991,79.4495,80.176,78.2125,,-0.57%
03-06-2018,79.444,78.086,79.761,78.066,,1.71%
27-05-2018,78.11,78.9305,79.3505,77.8335,,-0.99%
20-05-2018,78.894,79.9735,80.487,78.868,,-1.45%
13-05-2018,80.052,80.516,81.114,79.7465,,-0.48%
06-05-2018,80.435,79.87,80.5695,79.477,,0.68%
29-04-2018,79.891,80.7765,80.87,79.61,,-1.11%
22-04-2018,80.785,81.3655,81.6675,80.395,,-0.67%
15-04-2018,81.333,80.4565,81.561,80.4235,,1.10%
08-04-2018,80.447,79.7275,80.9605,79.5825,,0.90%
01-04-2018,79.728,80.241,80.388,79.328,,-0.62%
25-03-2018,80.222,80.2465,80.9395,79.999,,-0.04%
18-03-2018,80.257,79.8335,80.628,79.704,,0.51%
11-03-2018,79.847,80.1725,80.707,79.6165,,-0.35%
04-03-2018,80.13,80.377,81.071,79.856,,-0.24%
25-02-2018,80.319,79.5805,80.474,79.217,,0.98%
18-02-2018,79.536,79.731,80.304,79.468,,-0.14%
11-02-2018,79.646,78.8545,80.3925,78.698,,1.15%
04-02-2018,78.744,79.8865,80.059,78.471,,-1.44%
28-01-2018,79.894,79.011,80.2185,78.4325,,1.18%
21-01-2018,78.96,78.2975,79.698,78.005,,1.25%
14-01-2018,77.988,77.5855,78.895,77.2915,,0.63%
07-01-2018,77.497,76.1915,77.5465,75.8625,,1.74%
31-12-2017,76.173,76.6205,76.7455,76.149,,-0.52%
24-12-2017,76.57,75.851,76.7965,75.8155,,0.89%
17-12-2017,75.897,75.326,76.3125,75.214,,0.80%
10-12-2017,75.295,75.8865,76.3655,75.2705,,-0.72%
03-12-2017,75.843,76.6565,76.714,75.6035,,-1.11%
26-11-2017,76.696,77.1765,77.3265,76.001,,-0.59%
19-11-2017,77.151,76.659,77.2605,75.978,,0.63%
12-11-2017,76.666,76.0275,77.3875,75.8875,,0.85%
05-11-2017,76.019,74.9545,76.1355,74.8585,,1.46%
29-10-2017,74.923,75.466,75.62,74.888,,-0.76%
22-10-2017,75.493,76.5715,76.8325,75.2775,,-1.49%
15-10-2017,76.638,76.5075,77.0865,76.1775,,0.20%
08-10-2017,76.482,76.7075,77.4035,76.414,,-0.31%
01-10-2017,76.722,77.18,77.18,76.21,,-0.54%
24-09-2017,77.138,77.4495,77.5435,76.9155,,-0.34%
17-09-2017,77.398,76.605,77.9025,76.2615,,1.11%
10-09-2017,76.548,76.8005,76.8425,75.905,,-0.26%
03-09-2017,76.746,75.9275,77.3945,75.8925,,1.10%
27-08-2017,75.909,76.3295,77.2635,75.5875,,-0.52%
20-08-2017,76.307,75.3435,76.435,75.1255,,1.24%
13-08-2017,75.37,75.73,75.9125,74.835,,-0.58%
06-08-2017,75.808,74.8975,75.9865,74.6155,,1.25%
30-07-2017,74.872,75.255,76.0545,74.643,,-0.61%
23-07-2017,75.329,75.073,75.622,74.7025,,0.34%
16-07-2017,75.074,73.855,75.2245,73.6095,,1.70%
09-07-2017,73.82,73.624,74.1545,73.285,,0.24%
02-07-2017,73.644,73.799,73.968,73.305,,-0.22%
25-06-2017,73.81,72.255,74.088,71.9915,,2.28%
18-06-2017,72.166,72.1895,72.3435,71.756,,0.00%
11-06-2017,72.165,71.9225,72.563,71.87,,0.37%
04-06-2017,71.897,72.6535,72.707,71.736,,-1.03%
28-05-2017,72.643,72.119,72.702,71.778,,0.71%
21-05-2017,72.129,72.3255,73.063,71.979,,-0.28%
14-05-2017,72.333,70.1955,72.4015,69.954,,3.04%
07-05-2017,70.199,70.7455,70.9125,69.787,,-0.71%
30-04-2017,70.698,70.121,70.768,69.8175,,0.97%
23-04-2017,70.022,70.6135,70.7045,69.571,,1.01%
16-04-2017,69.322,68.4425,69.6475,68.263,,1.37%
09-04-2017,68.386,68.078,69.076,67.93,,0.50%
02-04-2017,68.045,69.144,69.5875,68.0275,,-1.49%
26-03-2017,69.072,70.636,70.9925,69.0795,,-2.17%
19-03-2017,70.606,70.31,70.8835,70.0395,,0.48%
